Code,Indicator Name,Long definition,Source
WP11651.8,"Borrowed from a financial institution, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14917.8,"Borrowed from a financial institution, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) from a bank or another type of financial institution. This does not include the use of credit cards (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_06.9,"Borrowed from a financial institution, income, richest 60% (% ages 15+) [ts]","Denotes the percentage of respondents who report borrowing any money from a bank or another type of financial institution in the past 12 months (see year-specific definitions for details) (income, richest 60%, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11651.9,"Borrowed from a financial institution, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14917.9,"Borrowed from a financial institution, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) from a bank or another type of financial institution. This does not include the use of credit cards (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_06.2,"Borrowed from a financial institution, male (% age 15+) [ts]","Denotes the percentage of respondents who report borrowing any money from a bank or another type of financial institution in the past 12 months (see year-specific definitions for details) (male, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11651.2,"Borrowed from a financial institution, male (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14917.2,"Borrowed from a financial institution, male (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) from a bank or another type of financial institution. This does not include the use of credit cards (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_06.5,"Borrowed from a financial institution, older adults (% ages 25+) [ts]",Denotes the percentage of respondents who report borrowing any money from a bank or another type of financial institution in the past 12 months (see year-specific definitions for details) (% age 25+). [ts: data are available for multiple waves].,"Demirguc-Kunt et al., 2015"
WP11651.5,"Borrowed from a financial institution, older adults (% ages 25+) [w1]","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (% age 25+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
